Date,Open,High,Low,Close,Volume,Adj Close
2013-04-04,155.429993,156.169998,155.089996,155.860001,131885000,145.954569
2013-04-03,156.910004,157.029999,154.820007,155.229996,154167400,145.364603
2013-04-02,156.610001,157.210007,156.369995,156.820007,101504300,146.853564
2013-04-01,156.589996,156.910004,155.669998,156.050003,99194100,146.132496
2013-03-28,156.089996,156.850006,155.75,156.669998,102932800,146.713088
2013-03-27,155.259995,156.240005,155.00,156.190002,99950600,146.263598
2013-03-26,155.589996,156.229996,155.419998,156.190002,86856600,146.263598
2013-03-25,156.009995,156.270004,154.350006,154.949997,151322300,145.102399
2013-03-22,154.850006,155.600006,154.729996,155.600006,111163600,145.711098
2013-03-21,154.759995,155.639999,154.100006,154.360001,128605000,144.549899
2013-03-20,155.520004,155.949997,155.259995,155.690002,113759300,145.795375
2013-03-19,155.300003,155.509995,153.589996,154.610001,167567300,144.78401
2013-03-18,154.339996,155.639999,154.199997,154.970001,126704300,145.121132
2013-03-15,155.850006,156.039993,155.309998,155.830002,138601100,145.926477
2013-03-14,156.309998,156.800003,155.910004,156.729996,126329900,146.11938
2013-03-13,155.759995,156.119995,155.229996,155.899994,92550900,145.345569
2013-03-12,155.919998,156.100006,155.210007,155.679993,105755800,145.140462
2013-03-11,155.320007,156.039993,155.130005,156.029999,83746800,145.466773
2013-03-08,155.460007,155.649994,154.660004,155.440002,123477800,144.916719
2013-03-07,154.699997,154.979996,154.520004,154.779999,86101400,144.301398
2013-03-06,154.839996,154.919998,154.160004,154.50,94469900,144.040355
2013-03-05,153.660004,154.699997,153.639999,154.289993,121431900,143.844566
2013-03-04,151.759995,152.919998,151.520004,152.919998,99010200,142.567319
2013-03-01,151.089996,152.339996,150.410004,152.110001,170634800,141.812158
2013-02-28,151.899994,152.869995,151.410004,151.610001,126866000,141.346008
2013-02-27,149.889999,152.330002,149.759995,151.910004,150781900,141.625701
2013-02-26,149.720001,150.199997,148.729996,150.020004,186596200,139.863655
2013-02-25,152.630005,152.860001,149.00,149.00,245824800,138.912705
2013-02-22,151.149994,151.889999,150.490005,151.889999,106356600,141.607051
2013-02-21,150.960007,151.419998,149.940002,150.419998,183257000,140.236569
2013-02-20,153.139999,153.190002,151.259995,151.339996,160574800,141.094283
2013-02-19,152.369995,153.279999,152.160004,153.25,95105400,142.87498
2013-02-15,152.429993,152.589996,151.550003,152.110001,215226500,141.812158
2013-02-14,151.690002,152.470001,151.520004,152.289993,80834300,141.979965
2013-02-13,152.330002,152.610001,151.720001,152.149994,82322600,141.849444
2013-02-12,151.779999,152.300003,151.610001,152.020004,65392700,141.728255
2013-02-11,151.740005,151.899994,151.389999,151.770004,73775000,141.49518
2013-02-08,151.220001,151.889999,151.220001,151.800003,103133700,141.523148
2013-02-07,151.210007,151.350006,149.860001,150.960007,162490000,140.740019
2013-02-06,150.520004,151.259995,150.410004,151.160004,138762800,140.926476
2013-02-05,150.350006,151.479996,150.289993,151.050003,113912400,140.823923
2013-02-04,150.320007,151.270004,149.429993,149.539993,159073600,139.41614
2013-02-01,150.649994,151.419998,150.389999,151.240005,131173000,141.001062
2013-01-31,149.889999,150.380005,149.600006,149.699997,108975800,139.565312
2013-01-30,150.639999,150.940002,149.929993,150.070007,137447700,139.910273
2013-01-29,149.770004,150.850006,149.669998,150.660004,105694400,140.460326
2013-01-28,150.289993,150.330002,149.509995,150.070007,113357700,139.910273
2013-01-25,149.880005,150.25,149.369995,150.25,147211600,140.07808
2013-01-24,149.149994,150.139999,149.009995,149.410004,146426400,139.294951
2013-01-23,149.130005,149.50,148.860001,149.369995,104596100,139.257651
2013-01-22,148.330002,149.130005,147.979996,149.130005,111797300,139.033908
2013-01-18,147.970001,148.490005,147.429993,148.330002,169906000,138.288065
2013-01-17,147.699997,148.419998,147.149994,148.00,133833500,137.980405
2013-01-16,146.770004,147.279999,146.610001,147.050003,104849500,137.094722
2013-01-15,146.289993,147.210007,146.199997,147.070007,93172600,137.113372
2013-01-14,146.889999,147.070007,146.429993,146.970001,89567200,137.020137
2013-01-11,147.039993,147.149994,146.610001,147.070007,113917300,137.113372
2013-01-10,146.729996,147.089996,145.970001,147.080002,130735400,137.12269
2013-01-09,145.869995,146.320007,145.639999,145.919998,90745600,136.041219
2013-01-08,145.710007,145.910004,144.979996,145.550003,121265100,135.696272
2013-01-07,145.850006,146.110001,145.429993,145.970001,110002500,136.087837
2013-01-04,145.970001,146.610001,145.669998,146.369995,116817700,136.460751
2013-01-03,145.990005,146.369995,145.339996,145.729996,144761800,135.86408
2013-01-02,145.110001,146.149994,144.729996,146.059998,192059000,136.17174
